65.214.44.117 - - [11/Jun/2006:05:55:02 -0400] "GET /02candidates/021steps.html HTTP/1.0" 200 21037 "-" "Mozilla/2.0 (compatible; Ask Jeeves/Teoma; +http://sp.ask.com/docs/about/tech_crawling.html)"
65.54.188.92 - - [11/Jun/2006:06:52:46 -0400] "GET /robots.txt HTTP/1.0" 404 1461 "-" "msnbot/1.0 (+http://search.msn.com/msnbot.htm)"
65.54.188.92 - - [11/Jun/2006:06:52:46 -0400] "GET /01employers.html HTTP/1.0" 200 18137 "-" "msnbot/1.0 (+http://search.msn.com/msnbot.htm)"
65.54.188.92 - - [11/Jun/2006:08:02:47 -0400] "GET /03about/031meetdonna.html HTTP/1.0" 200 16250 "-" "msnbot/1.0 (+http://search.msn.com/msnbot.htm)"
66.194.6.80 - - [11/Jun/2006:11:32:06 -0400] "GET / HTTP/1.1" 200 16180 "-" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; Q312467)"
64.246.165.50 - - [11/Jun/2006:11:51:41 -0400] "GET /robots.txt HTTP/1.0" 404 1461 "http://www.whois.sc/" "SurveyBot/2.3 (Whois Source)"
64.246.165.50 - - [11/Jun/2006:11:51:41 -0400] "GET / HTTP/1.1" 206 16180 "http://www.whois.sc/menziessearch.com" "SurveyBot/2.3 (Whois Source)"
65.54.188.92 - - [11/Jun/2006:17:49:47 -0400] "GET /robots.txt HTTP/1.0" 404 1461 "-" "msnbot/1.0 (+http://search.msn.com/msnbot.htm)"
65.54.188.92 - - [11/Jun/2006:17:49:47 -0400] "GET /02candidates/022tips.html HTTP/1.0" 200 19528 "-" "msnbot/1.0 (+http://search.msn.com/msnbot.htm)"
72.30.252.102 - - [11/Jun/2006:19:39:36 -0400] "GET /robots.txt HTTP/1.0" 404 1461 "-" "Mozilla/5.0 (compatible; Yahoo! Slurp; http://help.yahoo.com/help/us/ysearch/slurp)"
72.30.129.122 - - [11/Jun/2006:19:40:17 -0400] "GET / HTTP/1.0" 200 16180 "-" "Mozilla/5.0 (compatible; Yahoo! Slurp; http://help.yahoo.com/help/us/ysearch/slurp)"
63.231.154.76 - - [11/Jun/2006:20:24:20 -0400] "GET / HTTP/1.1" 200 16180 "-" "Mozilla/5.0 (Macintosh; U; PPC Mac OS X; en) AppleWebKit/418 (KHTML, like Gecko) Safari/417.9.2"
63.231.154.76 - - [11/Jun/2006:20:24:20 -0400] "GET /pix/espacio.gif HTTP/1.1" 200 43 "http://www.menziessearch.com/" "Mozilla/5.0 (Macintosh; U; PPC Mac OS X; en) AppleWebKit/418 (KHTML, like Gecko) Safari/417.9.2"
63.231.154.76 - - [11/Jun/2006:20:24:20 -0400] "GET /pix/photo_home.jpg HTTP/1.1" 200 6177 "http://www.menziessearch.com/" "Mozilla/5.0 (Macintosh; U; PPC Mac OS X; en) AppleWebKit/418 (KHTML, like Gecko) Safari/417.9.2"
63.231.154.76 - - [11/Jun/2006:20:24:20 -0400] "GET /pix/logo.gif HTTP/1.1" 200 1499 "http://www.menziessearch.com/" "Mozilla/5.0 (Macintosh; U; PPC Mac OS X; en) AppleWebKit/418 (KHTML, like Gecko) Safari/417.9.2"
63.231.154.76 - - [11/Jun/2006:20:24:20 -0400] "GET /pix/redpixel.gif HTTP/1.1" 200 35 "http://www.menziessearch.com/" "Mozilla/5.0 (Macintosh; U; PPC Mac OS X; en) AppleWebKit/418 (KHTML, like Gecko) Safari/417.9.2"
63.231.154.76 - - [11/Jun/2006:20:24:21 -0400] "GET /pix/slogan.gif HTTP/1.1" 200 1226 "http://www.menziessearch.com/" "Mozilla/5.0 (Macintosh; U; PPC Mac OS X; en) AppleWebKit/418 (KHTML, like Gecko) Safari/417.9.2"
63.231.154.76 - - [11/Jun/2006:20:24:21 -0400] "GET /pix/button_candidates.gif HTTP/1.1" 200 344 "http://www.menziessearch.com/" "Mozilla/5.0 (Macintosh; U; PPC Mac OS X; en) AppleWebKit/418 (KHTML, like Gecko) Safari/417.9.2"
63.231.154.76 - - [11/Jun/2006:20:24:21 -0400] "GET /pix/button_about.gif HTTP/1.1" 200 223 "http://www.menziessearch.com/" "Mozilla/5.0 (Macintosh; U; PPC Mac OS X; en) AppleWebKit/418 (KHTML, like Gecko) Safari/417.9.2"
63.231.154.76 - - [11/Jun/2006:20:24:21 -0400] "GET /pix/button_employers.gif HTTP/1.1" 200 301 "http://www.menziessearch.com/" "Mozilla/5.0 (Macintosh; U; PPC Mac OS X; en) AppleWebKit/418 (KHTML, like Gecko) Safari/417.9.2"
63.231.154.76 - - [11/Jun/2006:20:24:21 -0400] "GET /pix/back_home.gif HTTP/1.1" 200 5333 "http://www.menziessearch.com/" "Mozilla/5.0 (Macintosh; U; PPC Mac OS X; en) AppleWebKit/418 (KHTML, like Gecko) Safari/417.9.2"
