66.194.6.70 - - [19/Jun/2006:05:32:26 -0400] "GET / HTTP/1.1" 200 16180 "-" "Mozilla/5.0 (compatible; Konqueror/3.0; i686 Linux; 20021207)"
65.54.188.93 - - [19/Jun/2006:06:01:58 -0400] "GET /robots.txt HTTP/1.0" 404 1461 "-" "msnbot/1.0 (+http://search.msn.com/msnbot.htm)"
65.54.188.93 - - [19/Jun/2006:06:01:58 -0400] "GET /index.html HTTP/1.0" 200 16180 "-" "msnbot/1.0 (+http://search.msn.com/msnbot.htm)"
65.54.188.93 - - [19/Jun/2006:06:03:12 -0400] "GET /02candidates/023jobs.html HTTP/1.0" 200 22661 "-" "msnbot/1.0 (+http://search.msn.com/msnbot.htm)"
66.249.72.230 - - [19/Jun/2006:07:35:19 -0400] "GET /robots.txt HTTP/1.1" 404 1461 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.72.230 - - [19/Jun/2006:07:35:19 -0400] "GET / HTTP/1.1" 304 - "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
65.55.246.56 - - [19/Jun/2006:07:35:28 -0400] "GET /robots.txt HTTP/1.0" 404 1461 "-" "msnbot/0.9 (+http://search.msn.com/msnbot.htm)"
65.55.246.56 - - [19/Jun/2006:07:35:29 -0400] "GET /013contact.html HTTP/1.0" 200 21971 "-" "msnbot/0.9 (+http://search.msn.com/msnbot.htm)"
65.55.246.56 - - [19/Jun/2006:08:02:00 -0400] "GET /02candidates.html HTTP/1.0" 200 16658 "-" "msnbot/0.9 (+http://search.msn.com/msnbot.htm)"
65.55.246.56 - - [19/Jun/2006:09:29:21 -0400] "GET /02candidates/021steps.html HTTP/1.0" 200 21037 "-" "msnbot/0.9 (+http://search.msn.com/msnbot.htm)"
65.55.246.56 - - [19/Jun/2006:09:35:40 -0400] "GET /024contact.html HTTP/1.0" 200 22833 "-" "msnbot/0.9 (+http://search.msn.com/msnbot.htm)"
65.55.246.56 - - [19/Jun/2006:09:43:13 -0400] "GET /01employer/011steps.html HTTP/1.0" 200 16334 "-" "msnbot/0.9 (+http://search.msn.com/msnbot.htm)"
65.55.246.56 - - [19/Jun/2006:10:40:10 -0400] "GET /robots.txt HTTP/1.0" 404 1461 "-" "msnbot/0.9 (+http://search.msn.com/msnbot.htm)"
65.55.246.56 - - [19/Jun/2006:10:40:11 -0400] "GET /01employer/012start.html HTTP/1.0" 200 15744 "-" "msnbot/0.9 (+http://search.msn.com/msnbot.htm)"
65.55.246.56 - - [19/Jun/2006:10:59:31 -0400] "GET /index.html HTTP/1.0" 200 16180 "-" "msnbot/0.9 (+http://search.msn.com/msnbot.htm)"
71.195.40.151 - - [19/Jun/2006:16:11:26 -0400] "GET / HTTP/1.1" 200 16180 "-" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1; .NET CLR 1.1.4322)"
71.195.40.151 - - [19/Jun/2006:16:11:27 -0400] "GET /pix/photo_home.jpg HTTP/1.1" 200 6177 "http://www.menziessearch.com/" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1; .NET CLR 1.1.4322)"
71.195.40.151 - - [19/Jun/2006:16:11:27 -0400] "GET /pix/espacio.gif HTTP/1.1" 200 43 "http://www.menziessearch.com/" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1; .NET CLR 1.1.4322)"
71.195.40.151 - - [19/Jun/2006:16:11:27 -0400] "GET /pix/logo.gif HTTP/1.1" 200 1499 "http://www.menziessearch.com/" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1; .NET CLR 1.1.4322)"
71.195.40.151 - - [19/Jun/2006:16:11:27 -0400] "GET /pix/redpixel.gif HTTP/1.1" 200 35 "http://www.menziessearch.com/" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1; .NET CLR 1.1.4322)"
71.195.40.151 - - [19/Jun/2006:16:11:27 -0400] "GET /pix/slogan.gif HTTP/1.1" 200 1226 "http://www.menziessearch.com/" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1; .NET CLR 1.1.4322)"
71.195.40.151 - - [19/Jun/2006:16:11:27 -0400] "GET /pix/button_home-over.gif HTTP/1.1" 200 200 "http://www.menziessearch.com/" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1; .NET CLR 1.1.4322)"
71.195.40.151 - - [19/Jun/2006:16:11:27 -0400] "GET /pix/button_employers.gif HTTP/1.1" 200 301 "http://www.menziessearch.com/" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1; .NET CLR 1.1.4322)"
71.195.40.151 - - [19/Jun/2006:16:11:27 -0400] "GET /pix/button_candidates.gif HTTP/1.1" 200 344 "http://www.menziessearch.com/" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1; .NET CLR 1.1.4322)"
71.195.40.151 - - [19/Jun/2006:16:11:27 -0400] "GET /pix/button_about.gif HTTP/1.1" 200 223 "http://www.menziessearch.com/" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1; .NET CLR 1.1.4322)"
71.195.40.151 - - [19/Jun/2006:16:11:27 -0400] "GET /pix/back_home.gif HTTP/1.1" 200 5333 "http://www.menziessearch.com/" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1; .NET CLR 1.1.4322)"
71.195.40.151 - - [19/Jun/2006:16:11:28 -0400] "GET /pix/hjhl.gif HTTP/1.1" 200 534 "http://www.menziessearch.com/" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1; .NET CLR 1.1.4322)"
71.195.40.151 - - [19/Jun/2006:16:11:28 -0400] "GET /pix/afaik.gif HTTP/1.1" 200 567 "http://www.menziessearch.com/" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1; .NET CLR 1.1.4322)"
71.195.40.151 - - [19/Jun/2006:16:11:28 -0400] "GET /pix/fwiw.gif HTTP/1.1" 200 531 "http://www.menziessearch.com/" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1; .NET CLR 1.1.4322)"
71.195.40.151 - - [19/Jun/2006:16:11:28 -0400] "GET /pix/ttys.gif HTTP/1.1" 200 484 "http://www.menziessearch.com/" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1; .NET CLR 1.1.4322)"
71.195.40.151 - - [19/Jun/2006:16:11:33 -0400] "GET /pix/button_candidates-over.gif HTTP/1.1" 200 344 "http://www.menziessearch.com/" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1; .NET CLR 1.1.4322)"
71.195.40.151 - - [19/Jun/2006:16:11:33 -0400] "GET /pix/button_employers-over.gif HTTP/1.1" 200 301 "http://www.menziessearch.com/" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1; .NET CLR 1.1.4322)"
71.195.40.151 - - [19/Jun/2006:16:11:33 -0400] "GET /pix/button_about-over.gif HTTP/1.1" 200 223 "http://www.menziessearch.com/" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1; .NET CLR 1.1.4322)"
71.195.40.151 - - [19/Jun/2006:16:12:05 -0400] "GET /menzies.css HTTP/1.1" 200 1397 "http://www.menziessearch.com/02candidates/023jobs.html" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1; .NET CLR 1.1.4322)"
71.195.40.151 - - [19/Jun/2006:16:12:05 -0400] "GET /02candidates/023jobs.html HTTP/1.1" 200 22661 "http://www.menziessearch.com/" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1; .NET CLR 1.1.4322)"
71.195.40.151 - - [19/Jun/2006:16:12:05 -0400] "GET /pix/button_home.gif HTTP/1.1" 200 200 "http://www.menziessearch.com/02candidates/023jobs.html" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1; .NET CLR 1.1.4322)"
71.195.40.151 - - [19/Jun/2006:16:12:05 -0400] "GET /pix/photo_candidates.jpg HTTP/1.1" 200 3939 "http://www.menziessearch.com/02candidates/023jobs.html" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1; .NET CLR 1.1.4322)"
71.195.40.151 - - [19/Jun/2006:16:12:06 -0400] "GET /pix/graypixel.gif HTTP/1.1" 200 35 "http://www.menziessearch.com/02candidates/023jobs.html" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1; .NET CLR 1.1.4322)"
71.195.40.151 - - [19/Jun/2006:16:12:06 -0400] "GET /pix/title_candidates.gif HTTP/1.1" 200 1075 "http://www.menziessearch.com/02candidates/023jobs.html" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1; .NET CLR 1.1.4322)"
71.195.40.151 - - [19/Jun/2006:16:12:06 -0400] "GET /pix/back1line.gif HTTP/1.1" 200 67 "http://www.menziessearch.com/02candidates/023jobs.html" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1; .NET CLR 1.1.4322)"
71.195.40.151 - - [19/Jun/2006:16:12:06 -0400] "GET /pix/inthissection.gif HTTP/1.1" 200 591 "http://www.menziessearch.com/02candidates/023jobs.html" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1; .NET CLR 1.1.4322)"
71.195.40.151 - - [19/Jun/2006:16:12:06 -0400] "GET /pix/sidebutton_2a.gif HTTP/1.1" 200 1248 "http://www.menziessearch.com/02candidates/023jobs.html" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1; .NET CLR 1.1.4322)"
71.195.40.151 - - [19/Jun/2006:16:12:06 -0400] "GET /pix/sidebutton_2b.gif HTTP/1.1" 200 718 "http://www.menziessearch.com/02candidates/023jobs.html" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1; .NET CLR 1.1.4322)"
71.195.40.151 - - [19/Jun/2006:16:12:06 -0400] "GET /pix/sidebutton_2c-over.gif HTTP/1.1" 200 372 "http://www.menziessearch.com/02candidates/023jobs.html" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1; .NET CLR 1.1.4322)"
71.195.40.151 - - [19/Jun/2006:16:12:06 -0400] "GET /pix/sidebutton_2d.gif HTTP/1.1" 200 784 "http://www.menziessearch.com/02candidates/023jobs.html" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1; .NET CLR 1.1.4322)"
71.195.40.151 - - [19/Jun/2006:16:12:06 -0400] "GET /pix/sidebutton_2a-over.gif HTTP/1.1" 200 1187 "http://www.menziessearch.com/02candidates/023jobs.html" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1; .NET CLR 1.1.4322)"
71.195.40.151 - - [19/Jun/2006:16:12:06 -0400] "GET /pix/sidebutton_2b-over.gif HTTP/1.1" 200 660 "http://www.menziessearch.com/02candidates/023jobs.html" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1; .NET CLR 1.1.4322)"
71.195.40.151 - - [19/Jun/2006:16:12:06 -0400] "GET /pix/sidebutton_2d-over.gif HTTP/1.1" 200 725 "http://www.menziessearch.com/02candidates/023jobs.html" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1; .NET CLR 1.1.4322)"
68.142.251.146 - - [19/Jun/2006:17:18:09 -0400] "GET /robots.txt HTTP/1.0" 404 1461 "-" "Mozilla/5.0 (compatible; Yahoo! Slurp; http://help.yahoo.com/help/us/ysearch/slurp)"
68.142.250.167 - - [19/Jun/2006:17:18:09 -0400] "GET / HTTP/1.0" 304 - "-" "Mozilla/5.0 (compatible; Yahoo! Slurp; http://help.yahoo.com/help/us/ysearch/slurp)"
